"","VOTED98","CONTACT","AGE","MAJORPTY"
"1",0,0,51,1
"2",0,0,55,1
"3",0,0,35,1
"4",0,0,70,1
"5",0,0,27,1
"6",1,0,47,1
"7",1,1,71,1
"8",1,0,64,1
"9",0,0,29,1
"10",1,0,78,1
"11",1,0,47,1
"12",0,0,28,0
"13",0,0,26,1
"14",1,0,63,1
"15",0,0,32,1
"16",0,1,49,0
"17",0,0,50,1
"18",0,0,34,0
"19",0,0,39,1
"20",1,0,66,1
"21",1,0,49,0
"22",0,0,69,0
"23",1,0,61,1
"24",1,1,62,1
"25",0,0,30,1
"26",1,0,20,1
"27",0,0,40,1
"28",0,0,28,0
"29",1,0,70,1
"30",0,0,88,0
"31",0,0,92,1
"32",0,0,62,1
"33",1,0,50,1
"34",1,0,67,1
"35",1,0,21,1
"36",0,0,51,1
"37",0,0,36,0
"38",1,0,33,1
"39",1,0,61,1
"40",1,0,36,0
"41",1,0,76,1
"42",0,0,54,1
"43",0,0,30,0
"44",1,0,63,1
"45",1,0,35,1
"46",1,0,77,0
"47",1,0,77,1
"48",1,0,62,1
"49",0,0,18,0
"50",0,0,54,1
"51",0,0,35,0
"52",1,0,78,1
"53",1,0,63,1
"54",0,0,38,0
"55",0,0,31,1
"56",0,0,90,1
"57",0,0,35,1
"58",0,0,81,1
"59",0,0,33,0
"60",1,0,89,1
"61",1,0,89,1
"62",0,0,56,0
"63",1,0,33,1
"64",0,0,21,0
"65",1,0,41,0
"66",0,0,30,1
"67",1,0,37,1
"68",1,0,26,1
"69",1,0,38,1
"70",0,0,78,1
"71",0,0,27,1
"72",1,0,47,1
"73",1,0,61,1
"74",0,0,33,0
"75",1,0,41,1
"76",1,0,69,1
"77",0,0,81,1
"78",1,0,55,1
"79",0,0,21,0
"80",1,0,24,1
"81",0,0,52,1
"82",1,0,47,1
"83",1,0,71,1
"84",1,0,31,1
"85",1,1,69,1
"86",0,0,29,1
"87",1,0,48,1
"88",0,0,40,1
"89",0,0,48,0
"90",1,0,34,1
"91",0,0,34,1
"92",0,0,28,1
"93",1,0,70,1
"94",0,0,44,1
"95",0,0,23,0
"96",0,0,36,0
"97",0,0,45,0
"98",1,0,53,0
"99",0,0,42,1
"100",0,0,35,1
"101",0,0,28,0
"102",1,0,52,1
"103",1,0,53,1
"104",0,0,29,0
"105",0,0,68,1
"106",0,0,49,0
"107",0,0,52,1
"108",1,0,63,1
"109",0,0,61,0
"110",1,1,78,1
"111",0,0,49,1
"112",1,0,68,1
"113",0,0,34,0
"114",0,0,77,1
"115",0,0,28,1
"116",0,0,49,1
"117",0,0,22,1
"118",1,0,69,1
"119",0,0,25,1
"120",1,0,44,1
"121",0,0,34,1
"122",0,0,28,0
"123",0,0,23,1
"124",1,0,47,1
"125",1,0,48,1
"126",1,0,80,1
"127",0,0,40,1
"128",0,0,26,1
"129",0,1,56,1
"130",1,0,64,0
"131",0,0,33,1
"132",1,0,47,0
"133",1,0,60,1
"134",0,1,59,1
"135",1,0,36,0
"136",1,0,47,0
"137",1,0,42,1
"138",1,0,38,1
"139",1,0,79,1
"140",1,0,71,1
"141",0,0,42,1
"142",1,0,48,1
"143",1,0,50,1
"144",0,0,47,0
"145",1,0,74,1
"146",0,0,29,1
"147",0,0,40,1
"148",0,0,49,0
"149",1,0,77,1
"150",0,1,29,1
"151",0,0,93,1
"152",0,0,30,1
"153",0,0,77,1
"154",0,0,36,0
"155",0,0,47,1
"156",0,0,37,0
"157",1,1,28,1
"158",0,0,27,0
"159",1,0,27,0
"160",0,1,35,1
"161",1,0,28,1
"162",1,0,42,1
"163",0,0,86,1
"164",1,0,38,0
"165",1,0,64,1
"166",1,0,76,1
"167",1,0,60,1
"168",0,0,84,1
"169",0,0,29,1
"170",1,0,76,0
"171",1,0,54,0
"172",0,0,22,1
"173",1,1,73,1
"174",0,0,44,1
"175",1,0,41,1
"176",0,0,52,0
"177",1,0,75,0
"178",1,0,49,0
"179",0,1,78,1
"180",0,0,35,1
"181",0,0,68,1
"182",1,0,79,1
"183",1,0,59,1
"184",1,0,51,0
"185",1,0,35,1
"186",1,0,43,1
"187",1,0,42,1
"188",1,0,53,1
"189",0,0,34,1
"190",1,0,63,1
"191",1,0,40,1
"192",1,0,56,1
"193",0,0,93,1
"194",0,0,76,1
"195",1,1,63,1
"196",0,0,32,1
"197",1,0,60,1
"198",0,0,62,1
"199",1,0,58,1
"200",1,0,77,1
"201",1,0,45,1
"202",0,0,58,1
"203",0,0,51,1
"204",0,0,41,0
"205",0,0,45,1
"206",0,0,38,1
"207",0,0,50,1
"208",0,0,41,1
"209",1,0,74,0
"210",0,0,34,1
"211",1,0,58,1
"212",1,0,53,1
"213",1,0,41,0
"214",1,0,46,0
"215",1,0,76,1
"216",0,0,40,1
"217",0,0,25,1
"218",0,0,26,1
"219",1,0,31,1
"220",1,0,56,0
"221",1,0,46,1
"222",0,0,54,1
"223",0,0,44,1
"224",0,1,41,1
"225",0,0,56,0
"226",0,0,28,1
"227",0,0,41,1
"228",1,0,30,0
"229",0,0,28,1
"230",0,0,53,0
"231",1,1,79,1
"232",0,0,72,0
"233",1,0,43,1
"234",1,0,30,1
"235",1,0,82,1
"236",0,0,22,1
"237",0,0,93,1
"238",1,0,56,1
"239",0,0,27,1
"240",1,0,46,0
"241",0,0,40,1
"242",1,0,37,1
"243",1,0,50,1
"244",0,0,30,0
"245",1,0,25,1
"246",1,0,49,1
"247",1,0,82,1
"248",1,1,51,1
"249",0,1,34,1
"250",1,0,42,1
"251",0,0,29,1
"252",0,0,32,1
"253",1,0,24,1
"254",1,0,33,1
"255",0,0,33,0
"256",0,0,28,0
"257",0,0,26,1
"258",0,1,28,1
"259",1,0,51,0
"260",1,0,53,1
"261",1,0,45,1
"262",1,0,29,0
"263",1,0,42,1
"264",1,0,40,1
"265",1,0,25,1
"266",0,0,27,0
"267",0,0,88,1
"268",0,0,21,1
"269",0,0,43,1
"270",1,0,32,0
"271",0,0,53,1
"272",1,0,46,1
"273",1,0,75,1
"274",0,0,94,1
"275",1,0,55,1
"276",0,0,35,1
"277",0,0,25,1
"278",1,0,87,1
"279",0,0,45,0
"280",0,0,27,0
"281",0,0,61,1
"282",1,0,32,1
"283",1,0,69,1
"284",0,0,68,1
"285",1,0,44,1
"286",0,0,82,1
"287",0,0,73,1
"288",1,0,38,0
"289",1,0,74,1
"290",0,0,38,1
"291",1,0,54,0
"292",1,0,61,0
"293",1,0,50,1
"294",0,0,37,1
"295",1,0,35,0
"296",1,0,27,1
"297",1,0,58,1
"298",1,0,73,1
"299",0,0,29,1
"300",0,0,54,1
"301",1,0,38,1
"302",0,0,58,1
"303",0,0,24,0
"304",1,0,85,1
"305",0,0,28,1
"306",1,0,78,0
"307",0,0,46,1
"308",1,0,67,1
"309",0,0,39,1
"310",0,0,70,1
"311",0,0,77,0
"312",0,0,32,1
"313",0,0,26,0
"314",0,0,29,0
"315",1,1,42,1
"316",1,0,58,1
"317",1,0,25,1
"318",1,0,65,1
"319",1,0,51,1
"320",0,0,77,1
"321",1,0,30,1
"322",0,0,32,1
"323",0,0,35,1
"324",1,0,26,1
"325",0,0,41,1
"326",0,0,46,0
"327",1,0,54,1
"328",1,0,84,1
"329",1,0,55,1
"330",1,0,69,1
"331",0,0,40,0
"332",1,0,35,1
"333",0,0,31,1
"334",1,0,79,1
"335",1,0,47,1
"336",0,0,34,0
"337",1,0,31,1
"338",1,0,44,1
"339",0,0,59,0
"340",1,0,52,1
"341",1,0,75,1
"342",1,0,48,1
"343",0,1,33,1
"344",1,0,75,1
"345",0,0,70,1
"346",1,0,29,1
"347",1,1,67,1
"348",0,0,41,0
"349",0,0,43,1
"350",0,0,24,0
"351",0,0,52,1
"352",1,0,69,1
"353",0,0,42,1
"354",0,0,32,1
"355",1,0,69,1
"356",0,0,47,1
"357",0,0,95,0
"358",1,0,23,1
"359",0,0,58,1
"360",1,0,92,1
"361",0,0,37,1
"362",1,1,29,1
"363",1,1,65,1
"364",1,0,44,1
"365",0,0,65,1
"366",0,0,72,1
"367",1,0,77,1
"368",0,0,58,0
"369",1,0,32,1
"370",0,0,86,1
"371",1,0,44,1
"372",0,0,38,1
"373",1,0,36,0
"374",0,0,28,1
"375",1,0,62,1
"376",1,1,41,1
"377",0,0,37,1
"378",0,0,33,1
"379",0,0,41,1
"380",0,0,31,1
"381",0,0,28,0
"382",1,0,26,0
"383",1,0,45,1
"384",1,0,49,1
"385",0,0,54,1
"386",1,0,77,0
"387",0,0,37,0
"388",1,0,45,0
"389",1,0,44,1
"390",0,0,48,0
"391",0,0,26,1
"392",1,0,72,1
"393",0,0,20,0
"394",0,0,33,1
"395",0,0,34,1
"396",0,0,31,0
"397",0,0,94,1
"398",0,0,49,1
"399",0,0,21,1
"400",1,0,57,1
"401",0,0,39,1
"402",0,0,27,1
"403",0,0,49,0
"404",0,0,60,1
"405",0,0,30,0
"406",0,0,26,0
"407",1,0,66,1
"408",0,0,28,0
"409",0,0,34,0
"410",0,0,30,1
"411",0,0,37,1
"412",0,0,55,1
"413",0,0,50,1
"414",1,0,68,0
"415",0,0,32,0
"416",1,0,51,0
"417",1,0,36,1
"418",1,1,82,1
"419",1,0,53,1
"420",0,0,23,1
"421",1,0,47,1
"422",0,0,75,1
"423",0,0,39,1
"424",1,1,39,1
"425",0,0,19,0
"426",0,0,72,1
"427",0,0,46,0
"428",1,0,27,1
"429",0,0,52,1
"430",0,0,70,1
"431",0,0,42,1
"432",0,0,71,1
"433",0,0,27,1
"434",0,0,32,0
"435",1,0,52,1
"436",0,0,52,1
"437",1,0,52,1
"438",1,0,56,1
"439",0,0,20,0
"440",1,0,44,1
"441",1,0,63,1
"442",1,0,58,1
"443",0,0,41,1
"444",0,0,91,1
"445",1,0,80,1
"446",1,0,72,1
"447",0,0,34,0
"448",0,0,71,1
"449",0,0,48,0
"450",1,0,39,1
"451",0,0,33,1
"452",0,0,57,1
"453",0,0,25,0
"454",0,0,30,1
"455",1,0,49,1
"456",0,0,26,1
"457",0,0,19,1
"458",1,0,33,1
"459",1,0,78,1
"460",0,0,36,1
"461",1,0,59,1
"462",1,0,48,1
"463",0,0,83,0
"464",0,0,25,0
"465",0,0,37,0
"466",1,0,71,0
"467",0,0,42,1
"468",0,1,63,1
"469",1,0,77,1
"470",0,0,56,1
"471",0,0,35,1
"472",1,0,40,1
"473",0,0,22,0
"474",0,0,19,1
"475",1,1,37,0
"476",1,0,29,1
"477",1,0,56,0
"478",0,0,42,0
"479",1,1,75,1
"480",0,0,20,1
"481",1,0,42,1
"482",0,0,36,1
"483",0,0,33,0
"484",0,0,66,1
"485",0,0,20,1
"486",0,0,38,1
"487",1,0,34,1
"488",0,0,25,0
"489",1,0,75,1
"490",0,0,30,1
"491",0,0,46,1
"492",1,0,95,1
"493",1,0,34,1
"494",1,0,91,0
"495",0,0,47,0
"496",1,0,64,1
"497",1,0,32,1
"498",1,0,74,1
"499",1,0,70,1
"500",1,0,75,1
"501",1,0,37,0
"502",0,0,39,1
"503",0,1,20,0
"504",0,0,72,1
"505",0,0,41,1
"506",0,0,46,0
"507",0,0,50,1
"508",1,0,46,1
"509",1,1,60,1
"510",0,0,72,1
"511",1,0,24,0
"512",0,0,52,1
"513",1,0,79,1
"514",1,0,64,1
"515",0,0,48,1
"516",1,0,68,1
"517",1,0,54,1
"518",1,0,49,1
"519",1,1,78,1
"520",0,0,45,1
"521",0,0,81,1
"522",0,0,22,0
"523",1,0,39,1
"524",0,0,54,0
"525",1,0,50,1
"526",1,0,24,1
"527",1,0,35,1
"528",0,0,26,1
"529",1,0,80,1
"530",0,0,39,0
"531",1,0,30,0
"532",1,0,68,1
"533",1,0,68,1
"534",1,0,81,1
"535",0,0,67,1
"536",1,1,61,1
"537",1,0,42,1
"538",1,0,56,1
"539",0,0,30,0
"540",1,0,52,1
"541",0,0,33,1
"542",0,0,40,1
"543",0,0,56,0
"544",0,0,74,0
"545",0,0,35,1
"546",1,0,60,1
"547",1,1,92,1
"548",1,0,45,0
"549",0,0,35,1
"550",1,0,50,1
"551",1,0,47,1
"552",0,0,24,1
"553",0,0,30,1
"554",1,0,31,1
"555",1,0,41,1
"556",0,0,41,0
"557",0,0,53,1
"558",1,1,32,1
"559",1,0,31,1
"560",1,0,35,0
"561",1,0,34,1
"562",1,0,56,1
"563",1,0,38,1
"564",1,0,56,1
"565",1,0,34,1
"566",1,0,31,0
"567",0,0,36,1
"568",0,0,37,0
"569",0,0,31,1
"570",0,0,20,0
"571",0,0,41,1
"572",0,0,45,1
"573",1,0,25,1
"574",0,0,42,0
"575",1,0,49,1
"576",0,0,71,1
"577",1,0,72,1
"578",1,0,82,0
"579",0,0,39,1
"580",0,0,47,1
"581",1,0,31,1
"582",1,0,92,1
"583",0,0,26,0
"584",0,0,69,0
"585",1,0,22,0
"586",0,0,37,1
"587",1,0,22,1
"588",0,0,27,1
"589",1,0,60,1
"590",0,0,73,1
"591",1,0,72,1
"592",0,0,62,0
"593",0,0,71,1
"594",0,0,34,1
"595",0,0,39,1
"596",0,0,71,1
"597",1,0,89,1
"598",0,0,35,1
"599",0,1,37,1
"600",0,0,27,1
"601",1,0,38,1
"602",0,0,77,0
"603",1,0,36,1
"604",1,0,37,1
"605",1,0,78,1
"606",1,0,56,1
"607",0,0,20,0
"608",0,0,44,1
"609",1,0,73,1
"610",0,0,61,0
"611",0,0,36,1
"612",0,0,66,0
"613",1,0,42,1
"614",0,0,26,1
"615",0,0,74,1
"616",1,0,72,1
"617",0,0,33,0
"618",1,0,44,1
"619",0,0,50,1
"620",0,0,61,1
"621",0,0,34,0
"622",0,0,33,1
"623",0,0,22,0
"624",0,0,70,0
"625",1,0,56,1
"626",1,0,54,0
"627",1,0,44,1
"628",0,0,35,1
"629",1,0,69,1
"630",0,0,31,0
"631",0,0,65,1
"632",1,0,42,1
"633",0,1,76,1
"634",0,0,30,0
"635",0,0,49,0
"636",1,0,63,1
"637",1,0,46,1
"638",1,0,52,1
"639",1,0,52,1
"640",1,0,40,1
"641",0,0,82,1
"642",0,0,30,1
"643",0,0,26,0
"644",0,0,21,1
"645",1,0,88,1
"646",0,0,22,0
"647",0,0,81,1
"648",0,0,62,1
"649",0,0,42,1
"650",0,0,74,1
"651",1,0,66,0
"652",1,0,64,1
"653",1,0,84,1
"654",0,0,36,1
"655",1,0,61,1
"656",0,0,78,1
"657",0,0,73,1
"658",0,0,39,1
"659",1,0,52,0
"660",0,0,29,1
"661",0,0,33,1
"662",0,0,33,0
"663",1,0,54,0
"664",0,0,83,0
"665",0,0,34,1
"666",0,0,35,1
"667",1,1,77,0
"668",0,0,33,0
"669",1,0,37,1
"670",1,0,69,1
"671",0,0,51,1
"672",0,0,36,1
"673",0,0,47,0
"674",1,0,45,1
"675",1,0,58,1
"676",1,0,42,0
"677",0,0,85,1
"678",0,0,62,0
"679",0,0,21,0
"680",1,0,52,1
"681",0,0,35,1
"682",0,0,30,0
"683",0,0,59,1
"684",0,0,30,0
"685",0,1,63,1
"686",0,0,73,1
"687",1,0,80,1
"688",0,0,47,0
"689",1,0,20,1
"690",0,0,49,1
"691",0,0,51,0
"692",1,0,51,1
"693",0,0,49,1
"694",1,0,43,1
"695",1,0,55,1
"696",0,0,22,1
"697",1,0,50,0
"698",1,0,83,1
"699",1,0,32,1
"700",1,0,81,1
"701",0,0,18,1
"702",1,0,67,0
"703",1,0,52,1
"704",1,0,33,1
"705",0,0,38,0
"706",0,0,40,1
"707",1,0,44,1
"708",1,0,47,1
"709",1,0,35,1
"710",0,0,34,1
"711",1,0,90,1
"712",0,0,27,1
"713",0,0,82,1
"714",0,0,66,0
"715",1,0,59,1
"716",1,1,49,1
"717",1,0,64,1
"718",0,0,44,1
"719",0,0,66,1
"720",1,0,55,0
"721",0,0,40,1
"722",0,1,54,1
"723",0,0,42,1
"724",1,0,72,0
"725",0,0,37,1
"726",1,0,68,1
"727",1,0,74,1
"728",0,0,34,1
"729",0,0,89,1
"730",0,0,31,1
"731",0,0,33,1
"732",1,0,29,0
"733",1,0,46,1
"734",1,0,76,1
"735",1,0,33,0
"736",0,0,47,1
"737",0,0,36,1
"738",0,0,26,1
"739",0,0,45,1
"740",1,0,37,1
"741",0,0,65,0
"742",0,0,74,1
"743",1,0,51,1
"744",0,0,33,1
"745",1,0,39,1
"746",0,0,25,0
"747",1,0,52,0
"748",1,0,69,1
"749",0,0,56,0
"750",0,0,32,1
"751",0,0,57,1
"752",1,0,81,1
"753",0,0,29,0
"754",0,0,57,1
"755",1,0,76,1
"756",0,0,37,1
"757",1,0,51,1
"758",0,0,37,1
"759",1,0,97,1
"760",0,0,21,0
"761",1,0,72,1
"762",1,0,32,1
"763",0,0,89,1
"764",1,0,59,1
"765",0,0,27,0
"766",1,1,74,1
"767",1,0,76,1
"768",1,0,48,1
"769",1,0,61,1
"770",1,0,41,0
"771",1,0,36,0
"772",1,0,40,1
"773",0,0,45,1
"774",1,0,54,1
"775",1,0,37,1
"776",1,0,32,1
"777",0,0,49,1
"778",0,0,52,1
"779",0,1,42,1
"780",1,0,51,0
"781",0,0,64,0
"782",1,0,78,1
"783",0,0,33,1
"784",0,0,25,1
"785",1,0,44,1
"786",0,0,42,0
"787",0,0,41,1
"788",0,0,72,1
"789",0,0,45,0
"790",1,0,38,1
"791",1,0,58,1
"792",1,0,36,1
"793",1,0,27,0
"794",1,0,81,1
"795",0,1,47,1
"796",0,0,39,1
"797",1,0,59,1
"798",0,0,53,1
"799",0,0,76,1
"800",1,0,37,1
"801",0,1,40,1
"802",0,0,35,1
"803",1,0,38,1
"804",1,0,67,1
"805",0,0,28,0
"806",1,1,25,0
"807",1,0,21,1
"808",0,0,27,1
"809",0,0,31,0
"810",0,0,46,0
"811",0,0,69,1
"812",0,0,44,1
"813",1,0,40,0
"814",0,0,79,1
"815",1,0,84,0
"816",0,0,59,0
"817",0,0,33,1
"818",1,0,49,1
"819",1,0,37,1
"820",0,0,35,0
"821",0,0,30,1
"822",1,0,76,1
"823",0,0,33,1
"824",1,0,56,1
"825",1,0,65,1
"826",1,0,79,1
"827",0,0,29,0
"828",1,0,86,0
"829",0,0,31,1
"830",1,0,56,0
"831",1,0,65,1
"832",0,0,33,1
"833",0,0,61,1
"834",0,0,36,1
"835",0,0,97,1
"836",0,0,50,1
"837",1,0,43,1
"838",1,0,35,0
"839",1,1,58,1
"840",1,0,70,1
"841",1,0,39,1
"842",0,0,26,1
"843",0,0,34,1
"844",0,0,72,1
"845",1,0,56,1
"846",0,0,55,1
"847",1,0,58,1
"848",1,0,57,1
"849",1,0,76,0
"850",1,0,89,1
"851",0,0,45,1
"852",1,0,68,0
"853",0,0,47,1
"854",0,0,29,1
"855",0,0,32,0
"856",0,0,35,1
"857",1,0,54,1
"858",0,0,27,0
"859",1,0,32,1
"860",1,0,83,1
"861",1,0,34,1
"862",1,0,64,1
"863",1,0,28,1
"864",0,0,33,0
"865",0,0,57,1
"866",1,0,83,1
"867",1,0,49,1
"868",0,0,26,1
"869",0,0,33,0
"870",0,0,29,1
"871",0,0,41,1
"872",1,0,47,1
"873",0,0,49,1
"874",1,1,50,1
"875",0,0,36,1
"876",0,0,35,1
"877",1,1,43,0
"878",0,0,52,1
"879",0,1,21,1
"880",1,0,28,1
"881",0,0,25,0
"882",0,0,23,0
"883",0,0,37,0
"884",0,0,26,1
"885",0,0,28,1
"886",1,0,88,1
"887",0,0,29,1
"888",0,0,76,1
"889",1,1,34,1
"890",1,0,92,1
"891",1,1,52,1
"892",1,0,51,0
"893",1,0,45,1
"894",0,0,55,1
"895",0,0,20,1
"896",1,1,50,1
"897",1,1,90,1
"898",0,0,59,1
"899",1,0,47,1
"900",0,0,49,1
"901",1,0,41,1
"902",0,0,31,1
"903",0,1,31,0
"904",1,1,61,1
"905",1,0,64,1
"906",0,0,36,1
"907",0,0,25,1
"908",1,0,36,1
"909",0,0,49,0
"910",1,0,55,1
"911",0,0,21,1
"912",1,0,42,1
"913",0,0,43,1
"914",0,0,73,1
"915",0,0,37,1
"916",0,0,28,1
"917",1,0,67,0
"918",0,0,57,0
"919",1,0,51,1
"920",0,0,58,1
"921",0,0,35,0
"922",0,0,47,1
"923",1,1,83,1
"924",0,0,46,1
"925",1,0,75,1
"926",1,1,65,1
"927",1,0,54,1
"928",1,1,83,0
"929",0,0,27,1
"930",0,0,35,1
"931",0,0,36,0
"932",0,0,32,1
"933",0,0,38,1
"934",1,0,50,1
"935",0,0,32,0
"936",0,0,68,1
"937",1,0,84,1
"938",0,0,38,1
"939",0,0,78,1
"940",0,0,31,1
"941",1,1,39,1
"942",1,0,51,1
"943",0,0,68,1
"944",0,0,78,1
"945",1,0,79,1
"946",0,0,37,1
"947",0,0,47,1
"948",1,0,36,1
"949",1,0,45,1
"950",1,0,45,1
"951",0,0,73,1
"952",1,0,37,1
"953",1,0,74,1
"954",0,0,51,1
"955",1,0,50,1
"956",1,0,52,1
"957",0,0,64,0
"958",0,0,29,1
"959",0,0,51,0
"960",1,0,64,1
"961",0,0,60,1
"962",1,0,53,1
"963",0,0,37,1
"964",1,0,41,1
"965",0,0,39,1
"966",1,1,40,1
"967",0,0,72,1
"968",0,0,26,0
"969",1,1,85,1
"970",1,0,76,1
"971",1,0,50,0
"972",1,0,39,1
"973",1,0,77,1
"974",1,0,50,1
"975",1,1,84,1
"976",0,0,79,0
"977",1,0,56,0
"978",0,0,49,1
"979",1,0,71,1
"980",1,0,70,1
"981",1,0,43,1
"982",1,0,40,0
"983",0,0,70,1
"984",1,0,41,1
"985",1,1,68,1
"986",0,0,50,1
"987",0,0,19,0
"988",1,0,40,1
"989",1,0,48,1
"990",0,0,77,0
"991",0,0,29,0
"992",1,0,64,1
"993",1,0,73,1
"994",0,0,44,1
"995",0,0,87,1
"996",1,0,61,1
"997",0,0,25,0
"998",1,0,51,1
"999",1,0,86,1
"1000",0,0,21,1
"1001",0,0,22,1
"1002",1,0,78,1
"1003",1,0,20,1
"1004",0,0,37,1
"1005",1,0,30,0
"1006",0,0,31,1
"1007",1,0,26,0
"1008",1,0,52,1
"1009",1,0,66,1
"1010",1,0,41,1
"1011",0,0,19,0
"1012",0,0,91,0
"1013",1,0,89,0
"1014",1,0,37,0
"1015",1,0,55,1
"1016",0,0,23,0
"1017",0,0,43,1
"1018",1,0,88,1
"1019",1,0,65,1
"1020",1,0,42,1
"1021",0,0,32,1
"1022",0,0,45,0
"1023",0,0,28,0
"1024",1,0,47,1
"1025",1,0,19,0
"1026",0,0,53,1
"1027",0,1,84,1
"1028",1,0,27,1
"1029",0,0,48,1
"1030",0,0,81,1
"1031",0,0,40,1
"1032",1,0,67,1
"1033",1,0,50,1
"1034",1,0,46,1
"1035",0,0,33,0
"1036",1,0,75,1
"1037",0,0,61,1
"1038",0,0,28,1
"1039",1,0,34,0
"1040",0,0,21,0
"1041",1,0,56,1
"1042",0,0,34,1
"1043",1,0,49,1
"1044",1,0,73,1
"1045",0,0,38,1
"1046",0,0,68,1
"1047",0,0,41,1
"1048",0,0,49,1
"1049",0,0,38,1
"1050",0,0,26,1
